// Calibration coefficients for GSFMA305
// HPGe energies only
// First column - detector ID; Second column - no. of polynomials 
// then the coefficients starting with offset
//
//
//
//
//
//  Do not delete or remove the first ten lines of this file.
110
1  	0  0.00000000000E-00  0.00000000000E-00  0.00000000000E-00  0.00000000000E-00  0.00000000000E-00  0.00000000000E-00
2  	0  0.00000000000E-00  0.00000000000E-00  0.00000000000E-00  0.00000000000E-00  0.00000000000E-00  0.00000000000E-00
3  	0  0.00000000000E-00  0.00000000000E-00  0.00000000000E-00  0.00000000000E-00  0.00000000000E-00  0.00000000000E-00
4  	0  0.00000000000E-00  0.00000000000E-00  0.00000000000E-00  0.00000000000E-00  0.00000000000E-00  0.00000000000E-00
5  	0  0.00000000000E-00  0.00000000000E-00  0.00000000000E-00  0.00000000000E-00  0.00000000000E-00  0.00000000000E-00
6  	0  0.00000000000E-00  0.00000000000E-00  0.00000000000E-00  0.00000000000E-00  0.00000000000E-00  0.00000000000E-00
7	5  8.89476156618E-02  1.00118151501E+00 -1.87219713329E-06  5.80728645476E-10  1.07292837954E-12 -6.54974108795E-16
8	5 -1.54557977934E-01  1.00115913205E+00  1.72690646254E-06 -7.87344924665E-09  7.83214065199E-12 -2.46943801579E-15
9	5 -7.26892886233E-01  1.00674332578E+00 -2.24166038163E-05  3.99214220546E-08 -3.20744399786E-11  9.30673181159E-15
10  	0  0.00000000000E-00  0.00000000000E-00  0.00000000000E-00  0.00000000000E-00  0.00000000000E-00  0.00000000000E-00
11	5  4.26688149928E-01  1.00046213159E+00 -1.83417455863E-07 -2.26715621677E-09  2.98644190989E-12 -1.08728898846E-15
12	5 -4.17715471745E-01  1.00460986802E+00 -1.30118492697E-05  1.87106641511E-08 -1.27647356863E-11  3.23828103482E-15
13	5  1.52179107020E-01  1.00117038552E+00 -1.71257106681E-06  5.98260890007E-10  7.08736066019E-13 -4.46743573057E-16
14	5 -9.84952782425E-01  1.00865668012E+00 -2.48331531532E-05  3.48502904815E-08 -2.27879516606E-11  5.56892676512E-15
15	5 -6.32356037684E-02  1.00231859962E+00 -7.73094232481E-06  1.26166357759E-08 -9.35307214958E-12  2.51568380669E-15
16	5 -5.24062936706E-01  1.00447272580E+00 -1.18975427821E-05  1.68681809687E-08 -1.13063260268E-11  2.82056712174E-15
17	5 -7.36824583646E-02  1.00262057173E+00 -6.11228785384E-06  7.98925652375E-09 -4.94578344725E-12  1.13716436166E-15
18	5 -4.57596756719E-01  1.00267190123E+00 -3.68731827090E-06  1.52005054143E-09  8.18556234222E-13 -5.89879431722E-16
19	5 -1.53216072781E-01  1.00547297320E+00 -1.77314085450E-05  2.51474732937E-08 -1.60272929120E-11  3.73188391823E-15
20	5 -7.02115992538E-01  1.00492493782E+00 -1.12285289829E-05  1.33705624066E-08 -7.50394179005E-12  1.56021549860E-15
21	5 -2.00651125461E-01  1.00240429088E+00 -4.17996811314E-06  2.82562201392E-09 -2.38296840872E-13 -3.01026475134E-16
22	5 -4.20528424250E-01  1.00235221396E+00 -3.73863674125E-06  2.72896832113E-09 -5.54441177822E-13 -1.39632107023E-16
23	5 -1.77550547750E-01  1.00072943635E+00  1.28533382496E-06 -4.17593180761E-09  3.67371464081E-12 -1.08386803639E-15
24	5 -4.57445686509E-01  1.00286908959E+00 -3.80838137335E-06  2.03483177270E-09 -1.78897201169E-13 -1.50116376491E-16
25	5 -5.24761235958E-01  1.00688550107E+00 -2.64527667690E-05  5.12152570132E-08 -4.28297503098E-11  1.25949874030E-14
26	5 -2.56781276688E-01  1.00369583944E+00 -8.53948564848E-06  9.32359977010E-09 -4.44827420133E-12  6.69477895046E-16
27	5  9.70224909960E-02  9.99615379755E-01  4.12644048947E-06 -8.95793845593E-09  7.45847708637E-12 -2.16575188269E-15
28	5 -5.64861263952E-01  1.00381562215E+00 -6.83307710748E-06  6.67348975459E-09 -3.28386726879E-12  5.92489592308E-16
29	5 -7.80559901415E-01  1.00598921019E+00 -1.90430748070E-05  3.36417541078E-08 -2.69661319171E-11  7.83401837485E-15
30	5 -1.07943698175E+00  1.00623135602E+00 -1.44615326311E-05  1.90056668564E-08 -1.23600457887E-11  3.06562294664E-15
31	5 -1.56478655911E-01  1.00377138154E+00 -1.17758972964E-05  1.88127714557E-08 -1.41061855422E-11  3.93139603124E-15
32	5 -6.14624028907E-01  1.00259516203E+00 -1.69309872385E-06 -1.18610498120E-09  2.18507901588E-12 -7.98424399009E-16
33	5  1.79287654959E-01  1.00307017580E+00 -1.09705869533E-05  1.58691292884E-08 -1.06407682201E-11  2.64197959203E-15
34	5 -4.91844300183E-01  1.00379857153E+00 -9.48838605489E-06  1.32755186875E-08 -9.24963635162E-12  2.44583438019E-15
35	5 -1.79838652987E-01  9.99702192135E-01  5.43693740347E-06 -1.11297423086E-08  9.05026007722E-12 -2.60904732109E-15
36	5 -2.57797479800E-01  1.00370975567E+00 -8.59269406483E-06  9.40388931183E-09 -4.50015008243E-12  6.81638769665E-16
37	5 -4.18232415058E-01  1.00413433239E+00 -1.30410231022E-05  2.50453289517E-08 -2.10265481118E-11  6.16057848775E-15
38	5 -2.21320705426E-01  1.00194149534E+00 -2.07255276550E-06  2.54718372415E-10  7.53796390461E-13 -3.72514203297E-16
39	5  1.78662963694E-02  1.00010557655E+00  4.75349348861E-06 -1.19654683398E-08  1.04730991401E-11 -3.10503479858E-15
40	5 -2.16438472334E-01  1.00139991768E+00  2.20724006846E-06 -8.92617656150E-09  8.46952191489E-12 -2.56773717214E-15
41	5  1.18700499689E-01  1.00178877363E+00 -4.23755377513E-06  3.38917192649E-09 -5.36311936632E-13 -2.76886894638E-16
42	5 -8.36063082016E-01  1.00618112038E+00 -1.73481122728E-05  2.70349538192E-08 -1.98775249690E-11  5.40676177066E-15
43	5 -7.76622211478E-01  1.00544449755E+00 -1.49421081385E-05  2.67893353936E-08 -2.18637941117E-11  6.36057052431E-15
44	5 -2.83195240266E-01  1.00197423863E+00 -1.59182118874E-06 -1.30609620772E-09  2.27645848764E-12 -8.26655068529E-16
45	5 -3.97640625133E-02  1.00247455446E+00 -7.03988988854E-06  1.11821607757E-08 -9.06849417370E-12  2.73474514161E-15
46	5 -4.14915385874E-01  1.00460496619E+00 -1.27034847191E-05  1.69541997276E-08 -1.04828596102E-11  2.34901001315E-15
47	5 -1.61612329883E-01  1.00128932587E+00  8.35047056597E-07 -5.45233147580E-09  5.54134627087E-12 -1.75563735571E-15
48	5 -4.71919104524E-01  1.00538349488E+00 -1.37332036729E-05  1.74169209780E-08 -1.05083177046E-11  2.37754038522E-15
49	5 -3.00010802062E-02  1.00200031545E+00 -4.52774943655E-06  4.76254364475E-09 -2.33005945312E-12  3.88812791618E-16
50	5 -6.66788866101E-01  1.00518759239E+00 -1.27187719068E-05  1.69879993136E-08 -1.10612296607E-11  2.68544496297E-15
51	5 -5.32237927610E-02  1.00267201289E+00 -7.43674344941E-06  9.96180357317E-09 -6.31192802216E-12  1.47075739596E-15
52	5 -4.65391304226E-01  1.00479563464E+00 -1.02066961091E-05  9.67261229073E-09 -3.57336261881E-12  2.49099018879E-16
53  	0  0.00000000000E-00  0.00000000000E-00  0.00000000000E-00  0.00000000000E-00  0.00000000000E-00  0.00000000000E-00
54 	0  0.00000000000E-00  0.00000000000E-00  0.00000000000E-00  0.00000000000E-00  0.00000000000E-00  0.00000000000E-00
55	5 -5.86332034578E-02  1.00068376858E+00  1.46986628578E-06 -4.58876699123E-09  3.96495969700E-12 -1.14931493017E-15
56  	5 -6.85604011721E-01  1.00538565934E+00 -1.36203303181E-05  1.80316839539E-08 -1.18640247790E-11  2.98877500904E-15
57	5 -1.03376285280E-01  1.00338546493E+00 -1.06829493342E-05  1.57059474296E-08 -1.07330638122E-11  2.71216598446E-15
58  	0  0.00000000000E-00  0.00000000000E-00  0.00000000000E-00  0.00000000000E-00  0.00000000000E-00  0.00000000000E-00
59	5 -9.87465537220E-01  1.00840737522E+00 -2.20793531096E-05  2.76767404129E-08 -1.62271041980E-11  3.57631303891E-15
60	5 -1.46848626499E+00  1.00846416609E+00 -2.48636143667E-05  4.33372814757E-08 -3.43416382237E-11  9.80329823505E-15
61	5  4.89891919532E-01  9.96638022722E-01  1.28395128413E-05 -2.11865044813E-08  1.53064061414E-11 -4.05206182918E-15
62	5 -5.95381772766E-01  1.00446503606E+00 -1.07164932019E-05  1.44516065697E-08 -9.59074239261E-12  2.37278958178E-15
63	5 -2.59931006839E-01  1.00472263141E+00 -1.49277083984E-05  2.24504428770E-08 -1.54999046684E-11  3.94320092338E-15
64	5 -7.91736627988E-01  1.00505181383E+00 -1.23957045964E-05  1.60122673900E-08 -9.65512445158E-12  2.12678115319E-15
65	5 -3.52098403744E-01  1.00411392444E+00 -9.73285173767E-06  1.11402153080E-08 -6.11927148001E-12  1.27870352590E-15
66	5 -6.46325974919E-01  1.00350279065E+00 -4.78572024426E-06  2.59163295437E-09  7.70802059680E-14 -3.77114891418E-16
67	5  4.02628544950E+00  9.65920888633E-01  1.06900396984E-04 -1.51863058455E-07  9.96169143977E-11 -2.44957361053E-14
68	5 -3.13522462235E-01  1.00389904102E+00 -1.01117792355E-05  1.31584824341E-08 -8.18886503155E-12  1.89339322951E-15
69	5  7.29488758476E-02  1.00182637576E+00 -3.88523672709E-06  3.74018090546E-09 -1.55863669460E-12  1.65124142696E-16
70	5 -5.57811509052E-01  1.00352884720E+00 -1.36810355624E-05  3.29341562794E-08 -3.10133555465E-11  9.74973714629E-15
71	5 -5.34179193544E-01  1.00668034214E+00 -1.68391259493E-05  2.08617441687E-08 -1.17704463001E-11  2.39963496288E-15
72	5 -7.11532792880E-01  1.00527429038E+00 -1.33025958249E-05  1.73334397734E-08 -1.09622572808E-11  2.61144979631E-15
73	5 -9.13779147005E-02  1.00451818545E+00 -1.32311700027E-05  1.69425217731E-08 -1.02348085884E-11  2.32297216396E-15
74	5 -1.16301755424E+00  1.00946347845E+00 -2.53867316643E-05  3.36893363743E-08 -2.14470486444E-11  5.17501203223E-15
75	5 -2.96962464906E-01  1.00392614737E+00 -1.16583710949E-05  1.63000904613E-08 -1.04579979736E-11  2.47657146415E-15
76	5 -6.81510644492E-01  1.00585436792E+00 -1.47513894222E-05  1.83178335133E-08 -1.11325208659E-11  2.57257489266E-15
77	5 -2.41224352000E-01  1.00411535419E+00 -1.08311814899E-05  1.28499128198E-08 -7.03982532310E-12  1.41284995571E-15
