 det   theta    phi       al_thickness  Abs_type  Abs_thickness	
  1    9.0     150.0     	0.15     1        33.3  
  2    9.0     210.0     	0.15     1        33.3  		
  3    9.0     270.0     	0.15     1        32.5  		
  4    9.0     330.0     	0.15     1        32.5  		
  5    0.0     000.0     	0.00     1        00.0  		
  6    9.0      90.0     	0.15     1        34.3  		
  7   21.0     180.0     	0.58     1        31.2  
  8   21.0     216.0     	0.58     1        32.8  		
  9   21.0     252.0     	0.58     1        31.4  		
 10   21.0     288.0     	0.58     1        32.1  		
 11   21.0     324.0     	0.58     1        32.1  		
 12   21.0       0.0     	0.58     1        32.6  		
 13   21.0      36.0     	0.58     1        32.0  		
 14   21.0      72.0     	0.58     1        33.1  		
 15   21.0     108.0     	0.58     1        31.8  		
 16   21.0     144.0     	0.58     1        32.1  		
 17   36.0     180.0     	0.58     1        31.7  
 18   36.0     210.0     	0.58     1        29.7  		
 19   36.0     240.0     	0.58     1        30.0  		
 20   36.0     270.0     	0.58     1        31.6  		
 21   36.0     300.0     	0.58     1        30.8  		
 22   36.0     330.0     	0.58     1        30.6  		
 23   36.0       0.0     	0.58     1        29.8  		
 24   36.0      30.0     	0.58     1        29.8  		
 25   36.0      60.0     	0.58     1        28.5  		
 26   36.0      90.0     	0.58     1        29.3  		
 27   36.0     120.0     	0.58     1        30.5  		
 28   36.0     150.0     	0.58     1        29.9  		
 29   52.0     180.0     	0.15     1        20.4  
 30   52.0     210.0     	0.15     1        20.4  		
 31   52.0     240.0     	0.15     1        20.4  		
 32   52.0     270.0     	0.15     1        20.4  		
 33   52.0     300.0     	0.15     1        20.4  		
 34   52.0     330.0     	0.15     1        20.4  		
 35   52.0       0.0     	0.15     1        19.8  		
 36   52.0      30.0     	0.15     1        20.2  		
 37   52.0      60.0     	0.15     1        20.2  		
 38   52.0      90.0     	0.15     1        20.2  		
 39   52.0     120.0     	0.15     1        21.3  		
 40   52.0     150.0     	0.15     1        20.4  		
 41   70.0     180.0     	0.58     3        14.2  
 42   70.0     205.7     	0.58     3        14.2  		
 43   70.0     231.4     	0.58     3        14.2  		
 44   70.0     257.1     	0.58     3        14.2  		
 45   70.0     282.9     	0.58     3        13.9  		
 46   70.0     308.6     	0.58     3        13.9  
 47   70.0     334.3     	0.58     3        13.9  
 48   70.0       0.0     	0.58     3        14.2  
 49   70.0      25.7     	0.58     3        14.2  
 50   70.0      51.4     	0.58     3        14.2  
 51   70.0      77.1     	0.58     3        14.2  
 52   70.0     102.9     	0.58     3        14.2  
 53   70.0     128.6     	0.58     3        14.2  
 54   70.0     154.3     	0.58     3        14.2  
 55   90.0     180.0     	0.15     3         8.4  
 56   90.0     205.7     	0.15     3         8.4  
 57   90.0     231.4     	0.15     3         8.3  
 58   90.0     257.1     	0.15     3         8.3   
 59   90.0     282.9     	0.15     3         8.3  
 60   90.0     308.6     	0.15     3         8.1  
 61   90.0     334.3     	0.15     3         8.1  
 62    9.0      30.0     	0.15     1        33.3  
 63   90.0      25.7     	0.15     3         8.2  
 64   90.0      51.4     	0.15     3         8.2  
 65   90.0      77.1     	0.15     3         8.2  
 66   90.0     102.9     	0.15     3         8.2  
 67   90.0     128.6     	0.15     3         8.4  
 68   90.0     154.3     	0.15     3         8.4  
 69  111.5     180.0     	0.15     3         6.1  
 70  111.5     210.0     	0.15     3         6.1  
 71  111.5     240.0     	0.15     3         6.1  
 72  111.5     270.0     	0.15     3         6.1  
 73  111.5     300.0     	0.15     3         5.7  
 74  111.5     330.0     	0.15     3         5.7  
 75  111.5       0.0     	0.15     3         6.0  
 76  111.5      30.0     	0.15     3         6.0  
 77  111.5      60.0     	0.15     3         6.0  
 78  111.5      90.0     	0.15     3         6.0  
 79  111.5     120.0     	0.15     3         6.0  
 80  111.5     150.0     	0.15     3         6.1  
 81  135.0     180.0     	0.15     3         5.2  
 82  135.0     216.0     	0.15     3         5.2  
 83  135.0     252.0     	0.15     3         5.1  
 84  135.0     288.0     	0.15     3         5.0  
 85  135.0     324.0     	0.15     3         5.0  
 86  135.0       0.0     	0.15     3         5.0  
 87  135.0      36.0     	0.15     3         5.0  
 88  135.0      72.0     	0.15     3         5.0  
 89  135.0     108.0     	0.15     3         5.2  
 90  135.0     144.0     	0.15     3         5.2  
 91  159.0     180.0     	0.15     3         3.8  
 92  159.0     240.0     	0.15     3         3.8  
 93  159.0     300.0     	0.15     3         3.8  
 94  159.0       0.0     	0.15     3         3.8  
 95  159.0      60.0     	0.15     3         4.1  
 96  159.0     120.0     	0.15     3         3.6  
